Title,Description
Digital Leadership – Innovationstreiber,"Innovationen und gute Ideen machen Unternehmen erfolgreich. Digitale Technologien verändern die Art wie Ideen entstehen und damit auch die Wirkmechanismen unserer Welt. Veraltete Denkweisen und Regeln müssen über Bord geworfen werden, um Raum für Innovationskraft zu schaffen. Christoph Burkhardt zeigt Ihnen in diesem Kurs wie Sie Ihre Rolle als Führungskraft neu denken können, um die Brücke zwischen neuen Technologien, Zukunftsstrategien und dem Innovationsfaktor Mensch zu schlagen.

Lernziele:
- Sie lernen veraltete Muster und Denkweisen zu erkennen und neue Wege zu gehen.
- Sie wissen, wie Sie die Innovationkraft Ihres Unternehmens sichern und zum Innovationstreiber werden.
- Sie wissen, wie Sie als Führungskraft Raum für Innovationen schaffen.
- Sie kennen die Bedeutung des Purpose für sich und Ihr Unternehmen."
Führen mit Zielvereinbarung,"Das Führen mit Zielvereinbarungen ist als Führungsinstrument noch lange nicht weg zu denken. Allerding ist Umdenken angesagt, um dieses Führungsinstrument sinnvoll und effektiv zur motivierenden Führung Ihrer Mitarbeiter einzusetzen. Lernen Sie, wie Sie mit Zielvereinbarungen strukturiert und effektiv führen und den Erfolg Ihrer Mitarbeiter und des gesamten Teams steigern.

Lernziele
- Sie kennen den Nutzen von Zielvereinbarungen für Führungskräfte und Mitarbeiter.
- Sie wissen, welche Schritte zur optimalen Zielvereinbarung führen.
- Sie kennen den Unterschied zwischen Leistungs- und Entwicklungszielen.
- Sie lernen Zielvereinbarungsgespräche vorzubereiten und strukturiert zu führen.
- Sie lernen, die Zielakzeptanz und Zielbindung Ihrer Mitarbeiter zu steigern."
Strukturiert und zielgerichtet moderieren,"Moderator – Dompteur im Business-Zirkus? Moderieren kommt von moderat = gemäßigt und so muss der Moderator nicht nur Diskussionen leiten und Inhalte visualisieren, sondern auch dafür sorgen, dass alle Gruppenteilnehmer die Spielregeln einhalten. Damit Ihnen jetzt nicht die Schweißperlen auf die Stirn treten, bevor Sie in den „Löwenkäfig“ gehen, bereiten Sie sich mit diesem eLearning vor. Lernen Sie mit verschiedenen Moderationstechniken, souverän durch einen Workshop zu führen und auch, wie Sie eventuell auftretende schwierige Situationen innerhalb der Gruppe meistern.

Lernziele
- Sie kennen die Rolle und Aufgaben eines Moderators.
- Sie wissen, wie man eine Moderation vorbereitet, durchführt und die Ergebnisse sichert.
- Sie kennen verschiedene Moderationstechniken zur kreativen Problemlösungs- und Entscheidungsfindung.
- Sie führen souverän durch einen Workshop und können auch schwierige Situationen innerhalb der Gruppe meistern."
Virtuelle Moderation ,"Der Wandel in der Arbeitswelt hin zu internationalen Teams verändert zunehmend auch die Anforderungen an Meetings und Besprechungen. Immer häufiger treffen sich die Teilnehmer eines Meetings virtuell. Damit gerade in diesen Fällen die Effizienz der Meetings sowie die Entscheidungsfindung nicht verloren geht, muss ein virtueller Moderator mehr leisten als die Leitung von Diskussionen und die Visualisierung der Inhalte. Die virtuelle Moderation setzt nicht nur eine gute strukturelle und inhaltliche Planung voraus, sondern der Moderator muss auch damit umgehen können, Missverständnisse auf die Distanz zu lösen und Ablenkungen zu minimieren. Des Weiteren können neben technischen Problemen auch kulturelle Faktoren die Moderation beeinflussen.
Lernen Sie in diesem eLearning die Grundlagen einer effektiven virtuellen Moderation kennen.

Lernziele
- Sie kennen die Einsatzmöglichkeiten einer virtuellen Moderation.
- Sie wissen, welche Kompetenzen ein virtueller Moderator benötigt.
- Sie kennen den inhaltlichen und strukturellen Aufbau einer virtuellen Moderation.
- Sie wissen, wie Sie mit einer virtuellen Moderation die Arbeitsfähigkeit herstellen und aufrechterhalten.
- Sie kennen die Erfolgsfaktoren für eine virtuelle Moderation.
- Sie lernen die technischen Voraussetzungen kennen."
Teamperformance erhöhen,"Wenn Sie bereits in verschiedenen Teams mit ganz unterschiedlichen Persönlichkeiten gearbeitet haben, kennen Sie das bestimmt: In manchen Teams läuft es einfach rund und alle arbeiten Hand in Hand. In anderen Teams kommt es zu nervenaufreibenden Diskussionen und es hakt an vielen Stellen.
Egal, ob Sie ein ganzes Team leiten oder ein Projekt steuern: Gute Zusammenarbeit ist kein Zufallsprodukt. Setzen Sie sich mit den Menschen Ihres Teams auseinander und beugen Sie von Anfang an Hürden und Konflikten vor.
Erfahren Sie in diesem eLearning, wie Sie erfolgreiche Zusammenarbeit fördern können.

Lernziele
- Sie kennen Vor- und Nachteile verschiedener Teamzusammensetzungen.
- Sie können einschätzen, welche Persönlichkeitstypen Ihr Team an welcher Stelle weiterbringen.
- Sie kennen typische Hürden der Zusammenarbeit und können diese adressieren.
- Sie hinterfragen Ihren Führungsstil und entdecken Wege, um Teammitglieder professionell weiterzuentwickeln."
Teammeetings verbessern,"Sorgen Sie dafür, dass in Ihren Teammeetings niemand seine Zeit nur absitzt. Lernen Sie, wie Sie Teammeetings so planen, gestalten und steuern können, dass sie effektiver und nachhaltiger werden. Erfahren Sie, welche Rolle der Moderator dabei spielt, aber auch, was jeder Teilnehmer tun kann, um das Teammeeting auf Erfolgskurs zu bringen.

Lernziele
- Sie wissen, warum es wichtig ist, das Ziel, das Thema und den Ablauf des Meetings vorab festzulegen.
- Sie lernen, wie wichtig der Einstieg und der Abschluss für den Erfolg eines Meetings sind.
- Sie erfahren, wie sie ihre Moderationskompetenz gewinnbringend einsetzen.
- Sie lernen, wie sie selbst gute Meetings noch optimieren können.
- Sie wissen, wie sie mit Störungen im Meeting umgehen."
Konfliktmanagement ,"Gehen Sie Auseinandersetzungen eher aus dem Weg oder sehen Sie darin sogar eine Chance? Wenn Sie wissen, wie Konflikte entstehen und verlaufen, können Sie im Ernstfall souverän und professionell agieren. Haben Sie Lust, Ihr Lösungsrepertoire über Kompromisse hinaus zu erweitern? Dann ist dieses eLearning genau richtig für Sie! In 20 Lernbausteinen gehen wir häufig gestellten Fragen zu Konflikten auf den Grund. Videos, fachlicher Input, Übungen und Expertenimpulse mit Praxistipps helfen Ihnen, das Gelernte in die Anwendung zu bringen. Und wenn es brennt, können Sie mit den Tools aus unserem Notfallkoffer beherzt erste Hilfe leisten.

Lernziele
Sie wissen, wie Konflikte entstehen und verlaufen und können dadurch Konflikte differenzierter betrachten.
Sie verstehen die Bedeutung von Denk- und Verhaltensmustern bei der Entstehung und Bewältigung von Konflikten und können Ihr eigenes Verhalten reflektieren und ändern.
Sie wissen, wie Sie durch Ihre Kommunikation Konflikte entschärfen und können die andere Seite besser verstehen.
Sie kennen konkrete Schritte zur konstruktiven Konfliktlösung und können mit Ihrem ""Werkzeugkoffer"" selbst neue Ideen zur Bewältigung von Konflikten entwickeln.
Sie sind sich der Risiken und Chancen von Konflikten bewusst und können souveräner und professioneller mit konfliktträchtigen Situationen umgehen."
Virtuelle Kommunikation im Team,"Im Zuge der Digitalisierung verändert sich zunehmend die Zusammenarbeit und Kommunikation in der Arbeitswelt. Es ist nicht selten, dass wir im Homeoffice oder von unterwegs aus arbeiten. Medien helfen uns die dadurch entstehende räumliche Distanz zu überbrücken und virtuell im Austausch mit unserem Team zu sein. Erfahren Sie worauf es ankommt und wie virtuelle Kommunikation erfolgreich gelingt.

Lernziele
-Sie kennen die Besonderheiten der virtuellen Kommunikation
-Sie können für individuelle Kommunikationsabsichten das passende Medium wählen und einsetzen
-Sie sind in der Lage, Stolpersteine bei der virtuellen Kommunikation frühzeitig zu erkennen und souverän aus dem Weg zu räumen"
Körpersprache,"Ihr Gegenüber lächelt Sie an und Sie verspüren Sympathie. Und schon hat die nonverbale Kommunikation auf Sie gewirkt. Wir kommunizieren zumindest unbewusst immer auch mit unserem Körper: Mimik, Sprache, Haltung und so weiter.
Was bewirken diese nonverbalen Signale? Erfahren Sie in in diesem eLearning, wie Sie Ihre Körpersprache gezielter einsetzen.

Lernziele
- Sie wissen, was nonverbale Kommunikation ist.
- Sie verstehen, warum die Interpretation von Körpersprache kontextabhängig und nicht immer eindeutig ist.
- Sie können Ihre Beobachtungsgabe schulen.
- Sie können einschätzen, was Körpersprache mit Haltung zu tun hat und sie situativ anpassen."
Erfolgreiche Gespräche führen,"Sie sitzen in einem Meeting und merken, wie das Gespräch vor sich hin fasert. Keiner scheint es zu treiben, am Ende gehen alle unbefriedigt raus und klagen über Zeitverschwendung. Im Anschluss müssen Sie den Konflikt mit Ihrem Kollegen klären, weil er Sie wieder einmal missverstanden hat. Solche Situationen kennen Sie nur zu gut?
Dann wird es höchste Zeit, dass Sie die Fähigkeit erwerben, Ihre Gespräche gezielt zu führen und zu eindeutigen Ergebnissen zu bringen. Dieses eLearning zeigt Ihnen Methoden und Tipps auf, mit denen Sie sich auf wichtige Gespräche gut vorbereiten können. Bereiten Sie begleitend Schritt für Schritt ein wichtiges Gespräch vor, um das Erlernte direkt anzuwenden. Sie werden sehen, dass Ihre Gespräche schon bald spürbar fokussierter und ergebnisreicher werden.

Lernziele
Sie können...

die Atmosphäre Ihres Gesprächs in der Kontaktphase positiv beeinflussen.
in der Informationsphase für eine gemeinsame Gesprächsbasis sorgen.
Ihre Position in der Argumentationsphase nachvollziehbar vermitteln.
in der Beschlussphase für ein gemeinsames Ergebnis sorgen.
das Gespräch in der Abschlussphase positiv ausklingen lassen.
Ihrem Gesprächspartner vermitteln, dass Sie aktiv zuhören.
Wertschätzung ausdrücken.
mit der Methode des Paraphrasierens für ein gemeinsames Verständnis sorgen.
den Gesprächsverlauf mit Fragen gezielt steuern."
Feedback geben und nehmen ,"Für Ihre persönliche Weiterentwicklung brauchen Sie Feedback. Woher sollen Sie sonst wissen, was Sie beim nächsten Mal besser machen können? Feedback ist der Schlüssel für eine wertschätzende Kommunikation und eine bessere Zusammenarbeit. Doch was macht konstruktives Feedback aus? Was sollten Sie berücksichtigen, wenn Sie Ihrem Gegenüber Feedback geben? Und wie unterscheiden sich Lob, Kritik und Feedback? Dieses eLearning beantwortet diese Fragen und mehr. Tragen Sie mit Hilfe von Feedback zu einem guten Arbeitsklima, konstruktivem Austausch mit Ihren Mitmenschen sowie zur gegenseitigen Weiterentwicklung bei.

Lernziele
- Sie können erklären, was Feedback ist und welchen Mehrwert es stiftet.
- Sie wissen, welche Faktoren bei Feedback eine Rolle spielen und können erklären, warum und wie diese wirken.
- Sie können Lob, Kritik und Feedback voneinander unterscheiden.
- Sie können konstruktives Feedback geben.
- Sie wissen, wie Sie auf Feedback reagieren und wie Sie es besser annehmen können."
Gesprächsblockaden lösen,"Begeistert erzählen Sie Ihrem Team von Ihrer neuen Idee. Noch bevor Sie ausreden können, werden Sie von Ihrem Kollegen unterbrochen mit: ""Ja, aber…""
Fühlen Sie sich genervt oder angegriffen von den vorgebrachten Einwänden? Oder verstehen Sie diese als Chance? Erfahren Sie in diesem eLearning, wie Sie Einwände lösungsorientiert berücksichtigen, ohne alle Neuerungen zu blockieren.

Lernziele
- Sie verstehen, warum Einwände eine Chance darstellen.
- Sie kennen den Unterschied zwischen Einwänden, Angriffen und Vorwänden.
- Sie erkennen Ursachen für Einwände.
- Sie können mit Einwänden professionell umgehen."
Überzeugend Präsentieren,"Haben Sie sich auch schon gefragt, wie man trockene Inhalte spannend präsentiert und seine Zuhörer für sich einnimmt? Erfahren Sie alles, was Sie dazu wissen müssen: von einer guten Vorbereitung bis zur gelungenen Präsentation mit dem wirkungsvollen Einsatz von Medien – von Flip-Chart bis PowerPoint. Optimieren Sie Ihren Auftritt und gehören auch Sie bald zu denen, die einfach überzeugend präsentieren.

Lernziele
- Sie erhalten grundlegende Kenntnisse über Planung, Vorbereitung und Durchführung von Präsentationen.
- Sie können verschiedene Medien wirkungsvoll einsetzen.
- Sie wissen, wie Sie sicher und überzeugend auftreten und präsentieren.
- Sie können Emotionen gezielt einsetzen, um die Kernaussagen einer Präsentation zu verstärken."
Stakeholder Management in Projekten,"Neben Risikomanagement und der Projektsteuerung ist ein durchdachtes und geplantes Stakeholdermanagement für den Projekterfolg entscheidend. Beteiligte Personen, Personengruppen oder Organisationen gilt es, rechtzeitig zu identifizieren, motivieren und zu steuern. Lernen Sie in diesem eLearning, den Einfluss Ihrer Stakeholder auf den Projektverlauf abzuschätzen und somit zu steuern.

Lernziele
- Sie können die Stakeholder Ihres Projekts identifizieren und einordnen.
- Sie wissen, wie wichtig es ist, Ihre Stakeholder zu motivieren.
- Sie kennen die unterschiedlichen Vorgehensweisen mit Stakeholdern und wissen, deren Vertrauen zu gewinnen.
- Sie verstehen, wie sich Konflikte zeigen und wissen, welche Schritte zur Konfliktklärung notwendig sind.
- Sie kennen Methoden zur Konfliktvermeidung."
Vom Kollegen zum Vorgesetzten,"Mitarbeitende, die vom Kollegen zum Vorgesetzten aufsteigen, sehen sich mit vielen Herausforderungen konfrontiert. Für die meisten ist es die erste Führungsrolle und sie müssen sich mit den Aufgaben und Verantwortungsbereichen einer Führungskraft vertraut machen. Gleichzeitig nehmen sie eine neue Rolle im Team ein, die auch mit Spannungen versehen sein kann. 
In diesem eLearning bekommen Sie praktikable Ansätze und Tools an die Hand, damit Sie schnell handlungsfähig sind. Erlernen Sie, wie Sie die Erwartungen des Unternehmens, des Vorgesetzten und der Mitarbeitenden verstehen und in Ihren neuen Arbeitsalltag integrieren können. Sie werden sich mit Ihrer neuen Rolle als Führungskraft auseinandersetzen und Ihren neuen Verantwortungsbereich analysieren. Meistern Sie erfolgreich den Schritt vom Kollegen zur Führungskraft. Lernziele:
Sie kennen typische Fettnäpfchen von jungen Führungskräften und können diese vermeiden.
Sie reflektieren sich in Ihrer neuen Rolle als Führunsgkraft.
Sie kennen die verschiedenen Erwartungen Ihrer wichtigsten Stakeholder und integrieren diese in Ihren Führungsalltag.
Sie analysieren Ihren Verantwortungenbereich und richten diesen zielorientiert aus.
Sie nutzen Tools und Methoden für Ihren Start als Führungskraft."
Krisenkommunikation für Führungskräfte,"Das Überbringen heikler Botschaften gehört zu den Kompetenzen, die eine Führungskraft generell – vor allem in der heutigen Zeit – nicht nur beherrschen, sondern auch meistern muss.
In diesem Videokurs profitieren Menschen mit anspruchsvollen Führungsaufgaben vom Wissen unseres Experten und bekommen wertvolle Impulse für Ihre Krisenkommunikation.


Lernziele
- Sie wissen welche Bedeutung die eigene Haltung für eine krisensichere Kommunikation hat.
- Sie lernen wie Sie ihre Mitarbeiter besser einschätzen und ihre Kommunikation an die verschiedenen Menschentypen anpassen können.
- Sie können sich selbst hinsichtlich ihrer Haltung und Kommunikation reflektieren.
- Sie vermitteln ihre Botschaften so, dass sie von jedem Mitarbeiter verstanden werden."
High Potentials,"High Potentials zählen zu den wichtigsten Mitarbeitern in einem Unternehmen und sollten daher auch gefördert werden. Um das tun zu können sollten Sie wissen worauf es bei der Identifizierung und Bindung von High Potentials ankommt. Lernen Sie, wie Sie als Führungskraft High Potentials identifizieren und in ihren Fähigkeiten entwickeln, sodass sie bestmöglich zum Unternehmenserfolg beitragen.

Lernziele
- Sie wissen, was High Potentials sind und wie sie identifiziert werden können.
- Sie wissen, wie Ihr Unternehmen von High Potential profitiert.
- Sie lernen, wie Sie High Potentials erfolgreich einsetzen und entwickeln.
- Sie kennen die Voraussetzungen, um High Potentials zu motivieren und zu halten. "
Mitarbeiterorientierung ist Kundenorientierung,"Führungskräfte, die mitarbeiterorientiert denken und handeln, sorgen für eine positive Arbeitsatmosphäre. Zudem steht die Führungskraft bei Schwierigkeiten als Ansprechpartner beratend zur Seite.
Wozu das alles?
Ganz einfach: Die positive Grundstimmung wirkt sich auf viele andere Bereiche aus, z. B. die Zusammenarbeit mit Kunden.
Wie diese Bereiche genau zusammenhängen und wie auch Sie lernen können, mitarbeiterorientiert zu handeln und die Kundenorientierung Ihrer Mitarbeiter zu fördern, erfahren Sie auf den nächsten Lernkarten.

Lernziele
- Sie wissen, warum zufriedene Mitarbeiter für zufriedene Kunden sorgen.
- Sie lernen, warum es so wichtig ist, kundenorientiert zu denken und zu handeln.
- Sie erfahren, wie Sie als Führungskraft Kundenorientierung vorleben können."
Menschenkenntnis in der Führung,"Menschenkenntnis ist besonders für Sie als Führungskraft sehr wichtig, um sich optimal auf die verschiedenen Mitarbeitertypen Ihres Teams einstellen zu können. Dabei kommt es vor allem darauf an Ihr Gegenüber einschätzen und typengerecht motivieren zu können. Lernen Sie, wie Sie Wahrnehmungsfehler vermeiden und ihre Menschenkenntnis verbessern.

Lernziele
- Sie lernen, wodurch menschliches Verhalten beeinflusst wird.
- Sie wissen, wie Wahrnehmungsfehler entstehen und wie Sie Lügen enttarnen können.
- Sie lernen, wie Sie Ihre Menschenkenntnis verbessern.
- Sie kennen Wahrnehmungsfehler und können Körpersprache besser verstehen
- Sie wissen, was Ihre Mitarbeiter motiviert."
Mitarbeitergespräche,"Konstruktive Mitarbeitergespräche liefern Mehrwert für alle Beteiligten – Führungskraft, Mitarbeiter, Team und letztendlich das ganze Unternehmen. In unterschiedlichen Gesprächsphasen auf verschiedene Persönlichkeiten richtig einzugehen, erfordert Fingerspitzengefühl und die richtigen Techniken. Erarbeiten Sie sich mit diesem eLearning das erforderliche Know-how für eine wertschätzende, erfolgreiche Gesprächsführung mit Ihren Mitarbeitern.

Lernziele
Sie lernen verschiedene Führungsstile in Mitarbeitergesprächen kennen.
Sie können alle Phasen eines konstruktiven Feedbackgesprächs vorbereiten und durchführen.
Sie können typische Fehler in Mitarbeitergesprächen erkennen und vermeiden.
Sie können Ihre Mitarbeiter durch verschiedene Gesprächstechniken lenken und motivieren.
Sie können die drei Prinzipien für erfolgreiche Mitarbeitergespräche gezielt umsetzen."
Überzeugend Formulieren ,"Einen Gedanken in klare Worte zu fassen ist gar nicht so einfach: Egal, ob Sie eine E-Mail schreiben, einen Social Media Post verfassen oder einen umfangreichen Text. Sie sollten Ihr Anliegen stets professionell ausdrücken und klar formulieren können. Dieses eLearning hilft Ihnen dabei, einen Einstieg zu finden und mit den richtigen Stilmitteln auf Augenhöhe wertschätzend zu kommunizieren. Lernen Sie, sich den Arbeitsalltag mit Textbausteinen zu erleichtern und zielgerichtet souverän zu schreiben.

Lernziele
- Sie verlieren die Angst vorm „weißen Blatt“ und können auch schwierige E-Mails formulieren.
- Sie kommunizieren bewusst und nutzen angemessene Sprache und Stilmittel.
- Sie bleiben auch ohne Mimik und Gestik immer auf Augenhöhe und schreiben wertschätzende Nachrichten.
- Sie wissen, wie Sie in kritischen Kommunikationssituationen professionell bleiben und souverän reagieren.
- Sie schreiben zeitsparender mit Hilfe von Bausteinen und Kernbotschaften."
Storytelling - Mit Geschichten im Gedächtnis bleiben,"Sie stehen vor Ihren Kollegen und Vorgesetzten und schildern ihnen die für Sie perfekte Lösung. Doch Sie merken, die Aufmerksamkeit liegt nicht bei Ihnen.
Wie schaffen Sie es, dass Ihre Ideen gehört werden?
Die Methode des Storytellings kann Ihnen u.a. dabei helfen, komplexe Inhalte verständlich darzustellen, Ihre Präsentationen zielgruppengerecht zu gestalten, bei Ihren Gesprächspartnern im Gedächtnis zu bleiben und einen Elevator Pitch erfolgreich zu platzieren. Bewegen Sie Menschen mit authentischen Geschichten. Verschaffen Sie sich Aufmerksamkeit und überzeugen Sie Ihre Zielgruppe!

Lernziele
- Sie wissen, was die Methode Storytelling bedeutet und welchen Mehrwert sie für Sie persönlich hat.
- Sie verstehen, was Storytelling im Gehirn auslöst und wie die Methode im Kopf bleibt.
- Sie wissen, wie Sie bei Ihrem Gegenüber „ankern“, also wie Sie einen Plot nutzen, um Interesse zu wecken.
- Sie wissen, welche Möglichkeiten es gibt, eine Präsentation oder ein Beratungsgespräch strukturiert und kreativ aufzubauen und können diese anwenden.
- Sie wissen, wie Sie komplexe Themen durch geeignete Fallbeispiele veranschaulichen und können die harten mit den weichen Fakten kombinieren.
- Sie wissen, welche Zuhörertypen es gibt und wie Sie diese beim Storytelling adressieren.
- Sie wissen, wie Sie geeignete Geschichten finden.
- Sie wissen, wie der Elevator Pitch funktioniert und wie er aufgebaut ist.
- Sie wissen, welche Kernthemen Sie beim Gegenüber adressieren müssen, um in kurzer Zeit im Gedächtnis zu bleiben."
Schlagfertigkeit und Rhetorik - wie Sie souverän auftreten,"Sie wollen Ihre Inhalte in Diskussionen und Präsentationen überzeugend darstellen und bei Fragen souverän kontern? Dieses eLearning hilft Ihnen dabei und zeigt Ihnen wie Sie Ihre Argumentation strukturiert aufbauen, durch die richtige Körperhaltung und Atemtechnik souverän wirken und auch in unangenehmen Situationen schlagfertig reagieren können. Denn mit Hilfe rhetorischer Fähigkeiten und Schlagfertigkeit wirken Sie stets souverän und strahlen mehr Kompetenz und Selbstbewusstsein aus. 

Lernziele
- Sie kennen Argumentationsstrukturen und können diese anwenden.
- Sie wissen wie Sie eine sichere Haltung entwickeln.
- Sie können Körperhaltung und Atemtechniken gezielt zur souveränen Wirkung nach innen und außen anwenden.
- Sie wissen wie Sie schlagfertig reagieren können.
- Sie kennen De- und Eskalationsmethoden und können diese anwenden."
Eine Rede halten - von der ersten Idee bis zum Applaus,"Gut vorbereitete Reden fesseln ihre Zuhörer, reißen sie mit und können wirklich etwas bewegen, während andere dem Publikum eher ein Gähnen entlocken. Dieses eLearning zeigt Ihnen, wie Sie aus einer Idee über sechs Produktionsstadien hinweg einen begeisternden Vortrag entwickeln, der Ihre Audienz in den Bann zieht. Lernen Sie, wie Sie Ihr Thema erst textlich aufbauen und dann persönlich mit der richtigen Körpersprache glaubwürdig und mitreißend vor Publikum halten.

Lernziele
- Sie erlernen grundlegendes Wissen rund um Reden und Vorträge.
- Sie kennen die Wirkungsweisen von Reden.
- Sie können unterschiedliche Redeanlässe einschätzen.
- Sie können eine grobe Idee zu einer Rede entwickeln.
- Sie verstehen, wie Sie eine Rede strukturieren und vorbereiten.
- Sie verstehen den Zusammenhang zwischen Sachaussage, Stimme und Körpersprache."
Authentischer und erfolgreicher Auftritt ,"""Sie glauben nicht, was mir gestern passiert ist …"" oder ""Herzlich Willkommen. Mein Name ist …?"" Was hat Ihre Aufmerksamkeit mehr erregt? In diesem eLearning geht es darum, wie Sie einen authentischen und erfolgreichen Auftritt und Präsentation absolvieren und Ihr Publikum überzeugen und begeistern. Es gibt die sechs Lernabschnitte ""Vorbereitung Ihres Auftritts"", ""Start Ihres Auftritts"", ""Ihr Auftritt: Ihre Bühnenpräsenz"", ""Aufbau Ihres Auftritts"", ""Schluss Ihres Auftritts"" und ""Nach Ihrem Auftritt"".

Lernziele
- Sie lernen, wie Sie sich professionell auf Ihren Auftritt vorbereiten, Ziel und Botschaft Ihrer Präsentation formulieren, bewusst Ihr Publikum analysieren und gut mit Lampenfieber umgehen.
- Sie lernen, wie Sie Ihren Auftritt mit einem ""Ohröffner"" beginnen, einen guten körpersprachlichen Anfang finden und so Ihr Publikum in kurzer Zeit für sich gewinnen.
- Sie lernen eine Bühnenpräsenz aufzubauen mit Ihrer Körpersprache, Mimik, Stimme und Sprache.
- Sie lernen, wie Sie durch Geschichten, Emotionen und Medien Ihre Inhalte spannend und überzeugend gestalten.
- Sie lernen, wie Sie ein gutes und bleibendes Ende Ihres Auftritts gestalten können.
- Sie lernen, wie Sie durch Reflexion besser werden und sich weiterentwickeln können."
Souveränes Auftreten in Videokonferenzen,"Das Gesicht zu nah an der Webcam, die Hände ständig im Gesicht oder hängende Schultern: Wer kann von sich sagen, das wäre ihm in einer Videokonferenz noch nie passiert?

Zwar gehören Videokonferenzen mittlerweile zum Alltag, aber wer kann von sich behaupten, souverän vor der Webcam „aufzutreten“?

Mit diesem Video-Kurs hebt Schauspielerin und Körpersprachenexpertin Yvonne de Bark Deine Lerner auf ein neues Niveau, auf dem sie authentisch, überzeugend und begeisternd im Gedächtnis ihrer Teilnehmer und Gesprächspartnern in Videokonferenzen wirken.

Lernziele
- Welche Vorbereitungen sind vor der Videokonferenz zu treffen?
- Worauf sollte ich während der Videokonferenz achten?
- Wie kann ich eine Videokonferenz geschickt beenden?
- Welche Tipps helfen, um überzeugend und positiv auf Teilnehmer zu wirken?"
Bewerberinterviews ,"In Zeiten des War for Talents ist es nicht leicht, gute und passende Mitarbeiter zu finden. Begeistern Sie Ihre Bewerber im Einstellungsprozess durch eine gute Candidate Experience: Stellen Sie die richtigen Fragen und gewinnen Sie schnell(er) den passenden Kandidaten für Ihr Unternehmen. Dieses eLearning unterstützt Sie dabei, passende Mitarbeiter für Ihr Unternehmen zu finden. Mithilfe eines Pretests können Sie gezielt Ihre Wissenslücken schließen.

Lernziele
- Sie wissen, wie Sie eine wertschätzende Beziehung zu den Bewerbern aufbauen und die Candidate Experience positiv gestalten.
- Sie können ein Bewerberinterview optimal vorbereiten und auswerten.
- Sie finden im Interview die Kompetenzen des Kandidaten mit den richtigen Fragen schnell heraus.
- Sie können geeignete und ungeeignete Kandidaten schnell(er) voneinander unterscheiden.
- Sie können Bewerber begeistern und trotz des War for Talents für Ihr Unternehmen gewinnen."
eRecruiting,"Fachkräftemangel und der daraus resultierende War for Talent stellen heute beim Recruiting einen entscheidenden Faktor dar. Nutzen Sie die Chancen der Digitalisierung und setzen Sie in Ihrem Unternehmen Maßnahmen des eRecruitings sinnvoll ein. Über die Nutzung der richtigen Tools und Social-Media-Kanäle bis hin zu Performance-Marketing und Active Sourcing – eine Vielfalt an Möglichkeiten erwartet Sie. Was Sie konkret tun können und wie, das erfahren Sie in diesem eLearning.

Lernziele
- Sie kennen unterschiedliche Recruiting-Kanäle und Tools und können diese gezielt einsetzen.
- Sie wissen, was Sie bei Recuiting-Prozessen und dem Aufbau einer Recruiting-Strategie beachten müssen.
- Sie kennen die Anforderungen an ein Bewerbermanagementsystem und können eine fundierte Auswahl treffen.
- Sie wissen, wie Sie Performance-Marketing und Active Sourcing nutzen können.
- Sie wissen, wie Sie unterschiedliche Social-Media-Kanäle bespielen und Ihre Zielgruppe ansprechen.
- Sie kennen die Rollenvielfalt der Stelle des Personalers."
Die Macher-Generation,"Das Überbringen heikler Botschaften gehört zu den Kompetenzen, die eine Führungskraft generell – vor allem in der heutigen Zeit – nicht nur beherrschen, sondern auch meistern muss.
In diesem Videokurs profitieren Menschen mit anspruchsvollen Führungsaufgaben vom Wissen unseres Experten und bekommen wertvolle Impulse für ihre Krisenkommunikation.

Lernziele
- Sie wissen welche Bedeutung die eigene Haltung für eine krisensichere Kommunikation hat.
- Sie lernen wie Sie Ihre Mitarbeiter besser einschätzen und Ihre Kommunikation an die verschiedenen Menschentypen anpassen können.
- Sie können sich selbst hinsichtlich Ihrer Haltung und Kommunikation reflektieren.
- Sie vermitteln Ihre Botschaften so, dass sie von jedem Mitarbeiter verstanden werden."
Führung in digitalen Zeiten - ein Einblick,"Die digitale Transformation bietet viele Chancen und Herausforderungen. Eine Anforderung an Unternehmen ist eine neue Art der Führung. Wie Sie diese neue Führung in Ihrem Unternehmen umsetzen, erfahren Sie in diesem Kurs.

 Lernziele:
- Sie können zwischen Fach- und Führungsaufgaben unterscheiden, sich auf die Arbeit am Unternehmen fokussieren und sind dadurch effektiver.
- Sie wissen wie Sie Ihre Mitarbeiter befähigen können, selbständig Lösungen zu finden.
- Sie können angemessen auf Fehler reagieren und wissen auf was es beim Feedback geben ankommt."
